
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="D.absence2",="D.absence2",="D.absence2",="absence2",="absence2",="absence2",="absence2",="D.absence",="D.absence",="D.absence",="absence",="absence",="absence",="absence",="absence62",="absence62",="absence62",="absence62"

="D",="-0.493",="-0.327",="-0.183",="-0.609",="-0.713",="-0.434",="-0.324",="-1.096+",="-0.452",="-0.380",="-1.606*",="-1.530*",="-0.877",="-0.853",="-1.470*",="-1.521*",="-1.342**",="-1.205*"
="",="(0.371)",="(0.326)",="(0.338)",="(0.389)",="(0.466)",="(0.317)",="(0.324)",="(0.580)",="(0.563)",="(0.590)",="(0.700)",="(0.667)",="(0.592)",="(0.565)",="(0.565)",="(0.674)",="(0.388)",="(0.503)"

="Sick Absence (1M) in the 1st ",="No",="No",="No",="Yes",="No",="Yes",="Yes",="No",="No",="No",="No",="No",="No",="No",="Yes",="No",="Yes",="Yes"

="Absence (1M) in the 1st ",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="No",="Yes",="Yes",="No",="No",="No",="No"

="Pre Village-level Absence * Wave FE",="No",="Yes",="Yes",="No",="No",="Yes",="Yes",="No",="Yes",="Yes",="No",="No",="Yes",="Yes",="No",="No",="Yes",="Yes"

="Pre High Malaria Risk Village ",="No",="Yes",="Yes",="No",="No",="Yes",="Yes",="No",="Yes",="Yes",="No",="No",="Yes",="Yes",="No",="No",="Yes",="Yes"

="Pre Village-level Net Use ",="No",="Yes",="Yes",="No",="No",="No",="Yes",="No",="Yes",="Yes",="No",="No",="No",="Yes",="No",="No",="No",="Yes"

="Altitude ",="No",="No",="Yes",="No",="No",="No",="Yes",="No",="No",="Yes",="No",="No",="No",="Yes",="No",="No",="No",="Yes"

="N",="537",="537",="537",="537",="427",="537",="537",="537",="537",="537",="537",="371",="537",="537",="535",="425",="535",="535"

="Standard errors in parentheses"
="Cluster robust SEs (village level)."
="Estimation is done by OLS using 2nd and 3rd phase."
="+ p<.10, * p<.05, ** p<.01, *** p<.001"
