
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="RDT +",="rdt_hhdiff",="rdt_hhdiff",="RDT +",="rdt_hhdiff",="rdt_hhdiff"

="Sleep in a Net",="-1.094*",="",="",="-0.735**",="",=""
="",="(0.462)",="",="",="(0.197)",="",=""

="mqnid_hhdiff",="",="-1.069**",="-1.157***",="",="-0.923***",="-1.085***"
="",="",="(0.339)",="(0.234)",="",="(0.181)",="(0.125)"

="highrdtfirst",="",="",="",="0.153+",="0.0534",="0.0402"
="",="",="",="",="(0.0852)",="(0.101)",="(0.111)"

="Constant",="1.080*",="0.0110",="",="0.748***",="0.0171",=""
="",="(0.413)",="(0.0165)",="",="(0.165)",="(0.0113)",=""

="Observations",="696",="670",="670",="696",="670",="670"
="Wild Bootstrap p-value ",="0.00801",="0.00200",="0",="0.00601",="0",="0"

="Standard errors in parentheses"
="Cluster robust SEs (village level). We used only 6--12 aged people. "
="+ p<.10, * p<.05, ** p<.01, *** p<.001"
