
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Sleep in a Net",="Sleep in a Net",="Sleep in a Net",="Sleep in a Net",="Sleep in a Net"

="6-12 years old ",="-0.133***",="-0.0817**",="0.0270",="0.0370",="0.0564"
="",="(0.0263)",="(0.0280)",="(0.0302)",="(0.0302)",="(0.0440)"

="floor",="",="-0.195***",="",="-0.111***",="-0.112**"
="",="",="(0.0253)",="",="(0.0268)",="(0.0304)"

="nwithparent",="",="",="0.155***",="0.136***",="0.142***"
="",="",="",="(0.0159)",="(0.0176)",="(0.0188)"

="floorunderteen",="",="",="",="",="0.00176"
="",="",="",="",="",="(0.0474)"

="nwithparentunderteen",="",="",="",="",="-0.0412+"
="",="",="",="",="",="(0.0227)"

="Constant",="0.838***",="0.874***",="0.627***",="0.673***",="0.665***"
="",="(0.0110)",="(0.0110)",="(0.0316)",="(0.0355)",="(0.0370)"

="Observations",="3249",="3249",="3249",="3249",="3249"

="Standard errors in parentheses"
="Cluster robust SEs (village level). "
="+ p<.10, * p<.05, ** p<.01, *** p<.001"
